"wavelength","1EMQ","1EVM","1FQP","1I34","1LVS","1NP9","1XAV","139D","148D","186D","201D","156D","1S45","2AVH","2GKU","2HY9","2JSM","2JPZ","2JSL","2KF8","2KKA","2LD8","143D"
330,-0.97971,-0.42197,-0.04649,0.34679119,-0.56178,-2.26985,0.01279,0.07702,-0.66313,3.70976069,-0.35818,-2.30567,-0.88068,0.21086,0.99803,0.77087,2.55956,1.88521,1.40885,2.24143,2.47561,0.30283,0.3072
329,-0.9586,-0.26637,0.06041,0.59237091,-0.61812,-1.37085,-0.02738,0.67337,-0.73045,3.600745352,-0.2682,-2.50304,-0.56817,0.18612,1.06772,0.65176,2.37444,1.95296,1.35443,2.27643,2.46073,0.26495,0.16329
328,-1.03465,-0.11399,0.08983,0.627916093,-0.66029,-1.00163,0.06542,0.70114,-0.75533,3.90880304,-0.17066,-2.41542,-0.46166,0.17203,0.8843,0.63035,2.56134,2.15833,1.17974,2.3001,2.51662,0.20713,0.17341
327,-1.08889,0.05274,0.1217,0.829647809,-0.57669,-0.75227,0.06482,-0.64324,-0.8553,3.209585808,-0.06434,-2.42389,1.22431,0.06039,0.85248,0.37978,2.55173,1.91602,0.88432,2.40815,2.64401,0.29741,0.34602
326,-1.00189,-0.05743,0.17401,0.640268674,-0.73442,-0.7589,0.09684,0.31407,-0.76286,2.798432672,-0.02744,-2.244,-0.89205,0.01904,1.01217,0.24211,2.56952,1.32082,1.04206,2.24735,2.72739,0.33424,0.51818
325,-0.90545,-0.1494,0.11494,0.725061539,-0.8791,-0.97162,0.08742,-0.85707,-0.68374,2.454520554,0.05157,-1.84283,-0.43151,0.0662,1.09264,0.38105,2.7044,1.07745,0.89699,2.44487,2.56209,0.39337,0.63962
324,-0.96823,-0.01064,0.1436,0.746497618,-0.7581,-1.80601,0.09265,0.10755,-0.6257,2.791730909,0.18286,-1.71019,-0.0322,0.07583,1.04662,0.35927,2.64936,1.07156,0.57288,2.28407,2.44885,0.35368,0.72762
323,-1.06349,-0.07098,0.15052,0.401967137,-0.63575,-0.64521,-0.06699,-0.42523,-0.47075,2.999597246,0.3116,-1.44812,-0.27914,0.10958,0.77117,0.55953,2.29646,1.04664,0.61906,2.20552,2.10547,0.34075,0.54922
322,-1.04532,-0.07203,0.19197,0.516352525,-0.4564,-0.65918,-0.02311,-0.75418,-0.34285,2.99468262,0.37802,-1.60094,0.66355,0.12427,0.67674,0.61942,2.03408,0.74687,0.75465,1.84177,1.93607,0.23317,0.59143
321,-1.13631,-0.12112,0.32305,0.26443794,-0.26224,-1.84308,0.000747206,0.11699,-0.21463,3.286209294,0.42839,-1.23627,-0.40389,0.19797,0.75194,0.52606,1.75489,0.70814,1.06072,2.14275,1.86922,0.18804,0.71292
320,-0.93896,-0.09506,0.48488,0.104,0.05461,-1.499,0.07626,0.7514,-0.10144,3.85798134,0.56681,-0.67214,-0.20147,0.40926,0.84649,0.57607,1.56026,0.74426,0.99402,2.36123,1.73753,0.22742,0.88244
319,-0.91772,-0.18108,0.64818,-0.156013342,0.33261,-1.08753,-0.04873,0.64093,0.01047,4.451534115,0.82641,0.01484,0.1759,0.80024,0.81078,0.60721,1.64641,1.15043,0.96059,2.54117,1.84538,0.09543,1.28825
318,-0.8771,-0.21335,0.9561,-0.123631527,0.89695,-1.03929,-0.12878,-0.29833,0.23495,5.55687816,1.12186,0.48846,-0.45094,1.0927,0.72395,0.68125,1.87048,1.2963,1.05411,2.30733,2.27406,0.1103,1.61678
317,-0.70845,-0.22942,1.29214,0.255492687,1.40268,0.41116,-0.22759,0.01946,0.48205,6.312278502,1.73374,1.37756,0.56593,1.62794,0.95561,0.86534,2.33772,1.11038,1.26013,2.7083,2.58255,0.18714,2.2102
316,-0.69282,-0.14107,1.81717,1.056702724,2.05217,-0.92887,-0.19168,0.97683,0.68292,6.839372131,2.51069,2.40478,0.24583,2.40949,1.24867,0.8744,2.88045,1.34019,1.10068,3.29957,2.89132,0.42082,2.67925
315,-0.59866,0.04379,2.44343,2.078844244,2.84413,-2.06837,-0.17246,-0.19943,0.9103,7.509436695,3.37928,4.16524,0.08114,3.33166,1.42951,1.07668,3.33044,1.88357,0.92988,3.95806,2.9094,0.63165,3.37139
314,-0.64891,0.08163,3.20274,2.940337153,3.84055,-1.74164,-0.3127,0.5661,1.31247,8.638907086,4.51135,6.158,0.39294,4.5766,1.80815,1.60529,3.70912,2.27879,0.98072,4.38426,3.24328,0.87214,4.21845
313,-0.72282,0.13921,4.20181,4.066942963,4.91493,-0.85368,-0.61447,0.73625,1.79575,9.389281106,5.86867,8.54074,0.18245,6.28078,2.32622,2.14603,4.29169,2.80436,1.5753,5.15178,3.85113,1.01293,5.56086
312,-0.63304,0.17435,5.3338,5.961059602,6.39239,-1.15684,-0.75652,0.51,2.53108,10.40962446,7.97894,11.9822,-0.51057,8.57582,3.18062,2.97738,4.9332,3.44139,2.03895,6.35322,4.57223,1.3571,7.03144
311,-0.47947,0.52081,6.84115,8.035984198,8.28955,-1.07169,-0.64099,0.91753,3.46221,11.27750272,10.5305,16.1131,-0.10189,11.7327,4.46315,4.17489,5.80304,4.22014,2.82322,7.87495,5.42912,1.82613,9.19007
310,-0.27167,0.55136,8.68249,10.06076659,10.5843,-2.93614,-0.60201,1.35444,4.62233,13.66288342,13.4433,21.2751,-0.07702,15.9472,6.11503,5.53568,7.21588,5.56679,4.0772,9.56726,7.03925,2.30121,11.54602
309,0.20705,0.65709,10.8443,13.19418296,13.1334,-1.09211,-0.47864,0.28172,6.16842,15.90428793,16.75,27.5223,0.97052,21.3809,8.17412,7.9015,9.0154,7.31445,5.84802,11.86678,9.20838,2.88609,14.47472
308,0.82092,0.85975,13.3562,17.42173387,16.1236,-2.67564,-0.44445,1.19205,8.11849,19.08360411,20.9816,35.6705,0.85352,28.1508,11.33173,11.07331,11.87869,9.66818,8.342,15.127,12.37815,3.94513,17.85732
307,1.61774,1.23544,16.2403,23.16930281,19.4817,-1.59378,-0.42567,1.3821,10.445,22.51736387,25.8226,45.3194,2.09878,36.7979,15.49234,15.10775,15.61698,12.95683,11.57041,19.58743,16.15366,5.08887,22.09784
306,2.49387,1.72919,19.622,29.65704264,23.308,-2.26272,-0.4382,2.23037,13.1857,27.88558742,31.1235,56.6134,2.75005,47.2985,20.76801,20.06205,20.24502,16.93499,15.67156,24.97503,21.37,6.68933,26.74089
305,3.43228,2.37125,23.2512,36.92494677,27.6179,-2.37888,-0.37048,1.96084,16.4239,32.3041712,37.0077,69.1442,4.45028,59.5539,27.2688,25.89875,25.44914,22.03268,20.71386,31.02629,27.41775,8.37607,31.65611
304,4.36865,2.83309,27.3263,45.41682984,32.1604,-0.35201,-0.47717,3.0621,20.0807,37.61956251,43.1306,83.3078,3.9951,73.5306,34.90316,32.85923,31.68946,28.35762,26.54766,38.81546,34.70659,10.2342,37.22245
303,5.27578,3.15482,31.5499,55.17867047,36.9975,-3.30606,-0.8522,2.60886,24.2273,43.48159426,49.5691,98.6059,3.74797,88.823,43.88206,40.6539,39.33951,35.10311,33.51984,47.28604,43.15771,12.26978,42.61459
302,6.05693,3.30446,35.9407,65.04164125,42.2006,-1.84487,-1.24003,2.74774,28.6706,49.80079792,55.8735,114.049,4.22075,104.625,54.04547,48.76764,47.80302,42.33552,41.33241,56.68272,52.54792,14.41623,48.17336
301,6.60928,3.36527,40.3828,74.44297193,47.5629,-2.52629,-1.95573,1.18835,33.4027,55.85282464,61.933,129.256,3.72573,120.418,64.60884,56.89785,56.39902,50.12715,49.65482,66.4001,62.07128,16.57074,53.11015
300,6.88993,3.38511,44.6922,83.52547753,52.8132,-2.46853,-2.54183,0.87864,38.1377,61.45337595,67.5399,143.304,3.68044,135.531,75.46277,65.1313,65.31769,57.94045,58.02948,75.84362,71.9245,18.55166,57.21613
299,6.72771,3.13155,48.7855,91.3585346,57.6041,-3.99976,-3.37858,-0.62258,42.8564,66.47958621,72.3936,155.368,2.21328,148.781,86.37242,73.34835,74.62001,65.90118,66.67662,85.12486,81.32676,20.05357,60.4466
298,6.40375,2.78385,52.7216,98.08368144,61.9449,-5.98948,-4.23652,-1.08395,47.1099,71.32317344,76.4232,164.286,0.75608,159.774,96.92675,80.72641,83.46168,73.20525,75.14635,93.57079,90.42145,21.34471,62.94457
297,5.81616,2.34326,56.2583,102.5682213,65.7175,-6.86575,-5.14352,-0.86278,50.9232,74.27652852,79.4735,169.784,-0.16244,168.08,106.72548,87.61607,91.36415,80.01236,83.31195,101.04962,98.66645,22.4379,64.46388
296,5.10504,1.96968,59.3256,104.8202945,69.0305,-10.8103,-6.02438,-1.55741,54.168,75.95721889,81.7007,172.274,-2.87487,173.14,115.4804,93.51378,98.31009,86.46389,90.58865,107.56956,105.84269,23.27987,65.40915
295,4.52123,1.82019,62.11,105.3257256,71.359,-10.7594,-6.65362,-1.3553,56.6607,77.07406763,83.259,172.713,-3.16671,175.35,123.32574,98.4817,104.26197,92.00967,96.67355,113.44449,112.23811,23.92332,65.31796
294,3.75224,1.79658,64.2568,103.5203866,72.8381,-11.0261,-7.04756,0.80752,58.3968,77.33108022,84.2108,170.332,-3.50709,175.11,130.05417,103.08878,110.33922,96.86571,101.84032,117.85109,117.6518,24.51659,64.46886
293,3.36168,2.05541,66.0207,100.2486685,73.4962,-9.91595,-7.14503,1.05537,59.3581,77.05999393,84.091,166.363,-2.54086,172.231,135.94132,106.76456,115.29438,101.25673,106.21955,121.31032,121.52941,25.43782,63.19421
292,3.44905,2.47657,67.3146,95.3666178,73.5723,-9.26499,-7.01747,6.89833,59.46,76.2900731,83.802,160.087,-0.84155,167.566,140.74811,109.6962,119.50978,105.07161,109.94186,124.32831,124.50384,26.97568,61.32659
291,4.01857,3.2365,67.8646,89.37417662,72.9139,-9.62935,-6.37544,10.8331,59.1712,74.80250519,82.8238,153.198,0.82383,161.222,144.84784,111.82905,123.53046,108.59881,112.61154,126.72347,126.37781,28.73032,59.42708
290,5.34238,4.61035,67.6168,81.95195875,71.4779,-7.96885,-5.25325,16.0907,58.0068,73.58568849,81.1764,145.103,3.20946,153.642,147.85643,113.22974,126.99453,111.3905,114.75101,127.61334,126.97598,31.24748,57.03574
289,7.18554,6.43547,66.7177,73.33193899,69.1807,-5.0146,-3.63227,22.9758,56.3389,71.67490428,78.9624,135.537,6.74546,144.998,149.66542,114.22841,129.71796,113.44259,116.20324,127.65524,126.62895,34.2456,54.15657
288,9.59662,8.58306,64.8006,63.62731545,66.3867,-1.00855,-1.4786,29.4673,54.0198,68.68256728,76.2583,124.518,11.0379,135.702,150.45157,114.9733,131.59137,114.97327,117.238,126.33893,125.59607,37.7652,50.85983
287,12.3505,11.1572,61.9373,52.93938905,62.9891,3.83977,1.06794,37.4909,51.1707,64.71244311,72.6894,111.861,14.9252,125.324,150.131,114.65887,132.58454,115.43747,118.18801,124.41376,123.78512,41.83381,47.29386
286,15.8943,14.0409,58.0617,41.66876888,58.6558,9.96969,4.01361,44.4897,47.9444,59.63999069,68.8959,98.0965,20.5811,114.406,148.35736,113.50149,133.18915,115.07951,118.08539,121.02931,120.78512,46.0766,43.58981
285,19.8101,17.2022,53.0696,29.5339153,53.4212,18.304,7.59662,53.7286,44.2815,54.50208439,64.24,83.6305,25.8338,102.777,145.52913,111.55954,132.86817,114.45269,116.77621,116.34415,116.90568,50.27271,39.73731
284,24.2223,21.1198,47.2602,16.89954253,47.7326,23.1205,11.5843,63.0209,40.2467,49.24086565,59.0898,68.2259,30.999,90.8549,141.30177,109.36006,131.65272,113.27015,114.92516,111.21694,112.7751,55.20029,35.91451
283,29.277,25.5521,40.7006,3.56457756,41.678,33.3554,16.2829,73.7754,36.0868,43.34454322,54.0772,52.4759,39.2206,78.9001,136.42847,106.6298,130.22921,111.85796,112.27492,105.92951,108.14588,60.83012,32.19337
282,34.9007,30.4705,33.6065,-9.884439387,34.9296,41.088,21.4796,87.3247,31.9483,36.68086896,48.5764,36.5327,49.9827,67.3361,130.85231,103.44737,128.39759,109.79688,109.91388,99.46297,102.71941,67.26253,28.05635
281,41.1563,36.3555,26.321,-23.05006259,27.7526,48.648,27.4171,102.257,27.6103,32.32237765,42.9699,20.4087,59.9588,56.2554,124.82854,100.21703,126.09562,108.3757,107.47354,93.22076,96.92216,74.05996,23.59085
280,48.234,43.1181,18.674,-35.50906774,19.946,62.6249,34.1047,116.264,23.4556,28.60725555,36.8618,4.50294,73.5762,45.8203,118.29186,97.74804,124.34668,107.16455,104.37861,87.32036,91.5998,82.03084,19.19351
279,56.4084,50.7673,11.2054,-46.90877604,11.9384,74.956,41.6765,133.625,19.5287,25.7518579,30.8842,-11.4892,88.7992,36.0374,112.64019,95.96855,122.2341,106.08989,102.45526,82.24902,86.64456,91.241,14.4677
278,65.4875,59.4097,3.88806,-57.8422659,3.80766,86.6454,50.2292,152.843,15.8178,24.28629411,24.9398,-27.1756,106.058,26.9134,107.54099,95.41082,120.72256,105.08795,101.07689,77.77922,81.93398,101.97746,9.73954
277,75.8648,68.7229,-2.91424,-68.24663591,-4.77899,98.3143,59.7131,172.035,12.2465,24.15884893,18.6116,-43.4454,121.968,18.2223,103.44126,95.35467,119.79519,105.15578,100.10899,73.48691,77.65819,113.60218,4.51832
276,87.4746,78.7419,-9.27892,-77.08620471,-13.4684,113.606,70.1683,191.167,9.05539,24.8767194,12.1397,-60.3321,139.289,9.88955,99.83407,96.2957,119.35329,105.41321,99.87421,69.906,74.06367,127.07101,-1.06257
275,100.177,89.2254,-15.1852,-85.3415265,-22.4009,127.695,81.3278,211.574,5.91532,27.01514015,4.9984,-76.9005,158.575,1.4999,96.47195,97.82066,119.43776,106.02451,98.81303,67.58725,71.50395,140.61725,-7.26928
274,113.89,100.347,-20.3942,-92.89208436,-31.3278,143.435,93.6197,228.358,3.19398,28.42574948,-2.58422,-94.1036,176.963,-6.62424,94.21177,99.58818,119.86455,106.47807,98.64744,65.13473,68.81437,154.71945,-13.91633
273,128.694,111.991,-24.8775,-100.6551245,-40.6624,158.12,106.496,247.427,0.63404,31.82588874,-9.85622,-111.144,195.245,-14.989,92.60231,101.35046,119.50267,107.36478,98.22763,62.768,66.64606,169.3677,-21.43785
272,144.143,123.964,-28.4764,-107.7587043,-50.0737,175.325,119.98,264.834,-1.93453,35.73111751,-17.2262,-128.436,218.082,-23.8812,91.09892,103.55667,118.43926,108.20735,97.1439,60.87405,65.11255,183.16417,-29.40459
271,160.027,136.427,-31.2989,-113.8338891,-59.2113,190.203,133.892,285.524,-3.81027,39.77730668,-25.3145,-145.694,236.536,-32.7896,89.991,105.24558,117.16335,109.10059,96.06561,59.5883,63.41694,196.34022,-38.12362
270,175.939,148.895,-33.1626,-118.6275851,-67.8782,205.778,148.003,303.612,-5.48105,44.22794723,-32.9503,-162.55,256.275,-42.0864,88.63201,106.35206,115.105,109.67593,94.54186,58.33518,61.53539,209.12947,-47.02383
269,191.993,161.432,-34.1586,-122.6550713,-76.0292,221.598,162.068,322.017,-6.58867,49.01345251,-40.5541,-178.896,276.422,-51.622,87.5157,106.79825,112.11483,109.74948,93.50011,56.88428,59.87275,220.0959,-56.04463
268,206.503,173.97,-34.0613,-124.4949472,-84.0686,236.682,175.841,340.839,-7.41192,53.8636298,-47.4808,-194.635,296.52,-60.8045,86.48507,105.70899,108.8677,109.28529,93.11528,54.43751,57.52033,230.48404,-65.28906
267,219.481,186.094,-32.7955,-125.0447631,-90.6668,254.372,188.391,356.371,-7.59279,58.07691626,-52.9837,-209.126,314.999,-69.8842,84.56343,104.4146,104.65319,108.71731,91.08232,52.20923,55.37221,237.47048,-73.55982
266,229.917,197.235,-30.8616,-122.8762142,-96.0052,268.541,199.423,370.875,-7.26967,60.57723219,-57.4787,-220.965,332.12,-77.7412,81.98267,101.02555,100.36399,107.87882,89.37276,50.25415,52.47587,241.78795,-81.02533
265,237.319,206.642,-28.0039,-118.9610316,-98.8088,278.526,208.363,382.69,-6.17841,62.92943917,-60.9404,-230.042,342.421,-84.0935,78.32815,96.01646,95.94054,105.21135,86.62612,47.8801,49.51058,246.07851,-86.69048
264,240.929,213.874,-24.3218,-113.0731116,-99.9903,284.443,214.423,387.038,-4.70681,64.77588646,-62.57,-235.01,349.759,-88.4263,73.24692,89.63662,89.76726,101.1366,83.6789,44.5088,46.41615,246.04112,-90.28072
263,240.278,218.78,-20.0262,-104.1760411,-98.8029,290.14,217.066,386.505,-2.63069,66.34532757,-62.5901,-235.732,350.715,-90.6179,67.20698,82.49618,83.70219,96.59275,79.56865,40.64219,42.99397,241.82581,-91.71732
262,234.747,221.129,-15.3035,-94.09865259,-95.3748,285.895,216.352,375.425,-0.26335,67.4650804,-60.6208,-232.138,342.507,-90.5586,59.86545,74.02758,76.32796,91.10908,74.79153,37.27664,39.37169,233.31136,-90.64747
261,224.71,220.373,-10.6566,-81.82827843,-89.4317,276.496,211.912,362.347,2.37653,67.11837588,-57.1623,-222.725,330.468,-87.5718,52.07967,65.04236,68.56179,85.51262,69.35827,35.55039,36.23956,214.65629,-87.19974
260,210.584,216.494,-6.02771,-68.52043384,-82.1272,264.983,203.837,340.22,5.37947,66.41279198,-52.762,-209.658,314.587,-82.3361,44.90316,55.77348,60.82861,78.65901,63.80224,33.56401,33.39372,196.38429,-81.74537
259,192.607,208.911,-1.74389,-54.15683797,-72.8141,248.451,192.498,321.021,8.18631,65.94780135,-47.3362,-192.995,294.281,-74.7429,37.80461,46.90557,53.19813,72.9515,58.88037,31.18207,30.70286,176.3442,-74.41091
258,171.553,198.293,2.39332,-39.39895975,-62.474,224.918,177.888,291.62,11.2046,65.01490483,-40.8267,-173.903,267.635,-65.4196,30.75866,38.6427,45.20239,65.93182,54.00786,29.36495,28.37875,151.85582,-65.62342
257,147.754,184.996,5.76655,-24.5552315,-51.3576,201.468,160.67,261.937,13.9989,61.95662248,-34.1693,-152.612,242.234,-54.7116,23.88906,30.16917,38.54142,59.00801,48.60375,28.97335,26.0941,124.66391,-55.68934
256,122.262,169.099,8.76487,-10.26445813,-39.246,173.721,141.125,228.903,16.546,59.07403801,-27.0565,-129.576,210.568,-42.3478,17.90808,22.08021,32.44523,52.4553,43.33203,29.43028,24.31301,97.22767,-44.42211
255,95.5131,150.579,11.1247,4.334040082,-27.0874,147.017,119.304,191.724,18.7628,56.77904174,-19.6856,-104.328,175.811,-28.4334,13.12915,15.17363,27.0784,45.10767,38.20165,29.34992,23.00479,71.07325,-32.64299
254,68.5641,129.613,13.0765,17.24411367,-15.1219,117.69,96.0421,154.607,20.8429,53.22532042,-12.2459,-76.9397,141.905,-13.7156,8.47756,7.96955,20.0543,36.68586,32.38316,28.50187,22.52488,49.68265,-19.93084
253,41.7542,106.908,14.3301,29.89240851,-2.83849,84.4214,71.7376,109.966,21.9937,49.34150379,-5.00979,-48.4659,103.945,0.90572,4.43133,1.27979,13.79514,28.4467,26.71799,27.07086,22.26388,31.3948,-8.07423
252,16.0944,83.5197,14.9239,41.06916858,8.02028,51.6294,46.9925,71.6265,22.8601,45.34255087,1.97811,-20.5373,65.2581,15.3735,-0.03338,-5.38603,8.28356,18.91949,20.22992,25.78782,22.24616,8.59014,3.77391
251,-7.83357,60.1869,15.052,50.85634054,18.1948,21.7372,22.7487,31.9637,23.2402,40.57643602,8.09304,6.4613,33.0744,29.037,-4.03921,-11.60626,3.31995,11.51212,13.85752,24.46904,21.73776,-11.12536,13.88922
250,-29.0691,37.7143,14.814,58.45014462,27.2263,-8.79845,-0.77244,-2.18505,23.0663,36.54287967,13.4671,31.1139,-2.04539,41.8927,-6.89243,-16.33229,-1.64232,3.46926,7.72247,23.075,20.82324,-28.65828,23.71961
249,-47.6497,16.6671,14.1013,63.78388991,34.4711,-34.8458,-22.5107,-36.6632,22.5197,31.86661312,18.0221,52.5963,-28.7788,52.9742,-8.76415,-20.10172,-6.55161,-4.71596,2.02107,20.41238,19.6005,-46.07508,32.05559
248,-62.838,-2.70938,12.9366,66.97954084,40.02,-55.9709,-41.7102,-57.0112,21.3902,27.02242273,21.4604,69.7045,-51.6343,61.6975,-11.51197,-23.14716,-10.94021,-11.30184,-4.17648,18.04343,17.04572,-59.76019,38.46859
247,-74.6739,-19.3799,11.3292,67.46978136,43.6301,-69.4123,-58.1419,-76.8311,19.6095,23.56452545,23.4655,83.1598,-67.1242,68.1998,-14.68192,-25.57122,-14.43976,-17.10179,-8.78607,15.22897,13.79577,-73.24465,42.82741
246,-83.5311,-33.1044,9.58501,66.53761282,45.3054,-90.3559,-71.591,-93.2808,17.739,19.42433289,24.496,93.7671,-81.5489,72.6056,-18.01126,-27.97066,-18.53219,-22.28505,-14.05631,13.5185,10.20555,-88.42547,45.3773
245,-88.9727,-44.0078,7.66064,64.34632675,45.6922,-97.3939,-81.5007,-103.876,15.5914,15.22906301,24.1915,101.171,-92.9709,74.786,-20.72516,-29.50843,-22.89794,-27.46291,-19.49626,10.0693,6.36373,-95.49044,46.34415
244,-91.8968,-51.9299,5.72246,60.74573235,44.5743,-102.556,-88.6374,-107.222,13.3835,12.72093952,22.8594,105.648,-99.4098,74.7763,-23.96984,-30.40761,-27.40382,-31.70773,-23.58264,5.44931,2.90849,-98.50255,46.507
243,-92.2778,-57.4344,3.66119,56.69528931,42.0813,-106.913,-92.7548,-113.591,11.1321,9.741034286,21.1358,107.421,-102.021,72.791,-27.00826,-31.1635,-30.76156,-35.23959,-27.12023,0.03624,-0.41717,-99.04721,45.5845
242,-90.3813,-60.6604,1.78626,50.72828518,38.585,-104.197,-94.2513,-110.089,8.68353,7.630559885,19.2404,106.009,-101.028,69.2517,-30.7592,-31.64113,-33.86963,-38.38645,-30.03798,-3.83908,-3.91186,-98.56326,43.91265
241,-87.3655,-61.7784,0.00697,44.72184875,34.5711,-101.59,-93.7425,-106.874,6.35644,4.723335267,16.6812,102.933,-99.3757,64.2446,-32.59342,-31.31427,-34.99998,-40.67039,-32.81798,-7.87577,-7.06939,-94.83073,41.17769
240,-83.1047,-60.7621,-1.49245,38.62374787,30.0204,-97.4695,-91.0717,-99.7241,4.0923,1.949799643,13.9294,97.7462,-92.7363,58.2631,-34.05037,-30.65563,-35.29207,-42.22282,-34.81363,-11.54066,-9.6555,-88.72275,38.19632
239,-78.0332,-58.3423,-2.58794,32.07085408,25.6793,-92.587,-86.8556,-91.6071,2.19898,0.17841209,11.2967,91.815,-87.2456,51.3712,-35.06662,-29.22193,-34.71982,-42.72836,-35.1183,-15.08255,-12.78837,-81.98966,34.87616
238,-72.8911,-54.6109,-3.24373,25.600281,21.7209,-82.1134,-81.6291,-83.8112,0.40808,-2.026579503,8.95698,85.1805,-79.3521,44.5613,-35.14212,-27.68783,-33.86393,-42.18196,-34.47467,-16.87272,-15.5849,-75.26185,31.41039
237,-66.9094,-50.0355,-3.66828,19.1273415,18.0725,-79.5902,-75.3836,-74.9752,-0.71298,-3.651522373,7.49392,77.7834,-72.9551,37.8578,-33.82807,-25.38392,-33.35295,-40.93411,-33.48361,-16.64355,-16.71658,-69.95016,28.46525
236,-61.4104,-45.0877,-3.34755,13.60301354,15.0556,-66.9245,-68.7989,-65.4996,-2.07633,-6.090618821,6.1419,70.5472,-62.1046,31.3431,-33.65957,-23.06937,-33.32441,-38.80643,-31.64865,-17.35808,-17.71174,-64.8632,25.66217
235,-56.2728,-39.5886,-2.76153,10.00233782,12.5939,-60.1539,-62.1012,-56.0052,-2.86591,-7.102114734,5.05601,64.0825,-53.9032,25.4842,-32.32246,-20.31651,-31.06884,-35.92795,-28.63232,-18.57883,-17.42462,-56.96792,23.43333
234,-51.3815,-33.7953,-1.5977,7.292950833,11.0877,-49.802,-55.2384,-48.0302,-3.5254,-6.956027479,4.55852,58.9411,-46.8732,20.6641,-30.37344,-16.21797,-29.19597,-31.78529,-24.72996,-18.88893,-16.42636,-49.14679,21.14604
233,-46.6284,-27.9403,-0.00411,3.591047377,10.0662,-40.46,-48.7511,-38.2865,-3.51765,-6.038435546,4.68592,56.2458,-39.8856,16.0513,-28.21553,-12.24678,-26.48072,-28.21052,-21.44208,-17.21124,-14.93969,-42.10982,20.07251
232,-42.656,-22.5852,1.80547,1.610454538,9.88221,-35.052,-42.6218,-30.6931,-3.53936,-4.743224869,5.76722,54.3652,-31.7583,13.137,-24.28292,-7.37746,-23.36003,-23.94649,-17.0801,-15.51762,-11.72847,-34.39918,19.53031
231,-38.7944,-17.0386,4.1771,0.485735364,10.4475,-25.0427,-36.7425,-24.9001,-3.34579,-2.644694238,7.55835,53.856,-23.7744,11.0362,-19.60987,-1.68704,-18.71162,-18.95553,-12.82106,-13.20397,-7.79752,-27.19975,19.99393
230,-34.2555,-11.5771,6.9537,0.206906139,11.9193,-21.0687,-31.6524,-15.8894,-2.70492,0.200304515,9.69128,54.6618,-22.378,9.6133,-14.26536,4.45039,-12.44623,-13.31609,-8.64465,-11.03435,-4.09497,-19.43916,21.31427
229,-30.1633,-5.65891,10.2019,0.297779337,13.6674,-12.5315,-26.6549,-8.90846,-1.82684,2.927609146,12.6333,56.2755,-15.4733,9.54887,-7.99819,10.85298,-5.11049,-7.27196,-3.59676,-5.9396,-0.46402,-11.53264,23.22808
228,-26.4586,-0.3604,13.6711,0.456403067,16.5106,-8.27704,-22.1173,-2.63364,-0.80666,6.776447048,16.1046,58.7394,-10.9579,10.2552,-0.19642,18.12159,1.65957,-1.31142,2.36042,-0.6824,4.46602,-5.43711,25.89179
227,-22.615,4.59642,17.3234,1.257629368,19.1825,3.5916,-17.7381,5.2822,0.33254,9.604546189,19.4784,61.5151,-6.02151,11.5719,8.79022,25.74139,8.76316,5.79578,8.17563,6.00771,10.5481,-1.88248,29.08738
226,-17.7996,9.51986,20.8368,2.816445401,22.8152,10.0661,-13.5169,11.2366,1.51244,14.3440298,23.3566,64.7908,-4.69618,13.7723,18.82006,34.4333,16.13979,14.55969,15.97429,12.74112,17.5669,6.34872,32.68893
225,-12.8106,15.2874,24.5089,3.573140607,26.4751,19.3857,-8.87365,14.6739,2.9712,19.89883555,27.3045,69.0816,-0.43073,16.5843,27.62448,43.10335,25.02556,23.36397,23.78228,19.85997,24.91346,14.10149,37.15104
224,-6.79359,21.0313,28.04,4.593525604,30.0129,19.705,-4.39711,20.5408,4.95334,25.13842323,31.2142,72.3819,1.90969,19.3395,36.67254,51.19725,33.61507,31.30205,31.87185,26.19413,32.79582,16.81243,41.63334
223,-1.17696,26.489,31.4036,5.277316999,33.0669,32.5879,-0.06494,31.202,6.65118,30.47185345,34.9921,76.4416,13.713,22.4869,45.62801,61.06578,42.02159,41.2673,40.87871,32.5504,41.72055,17.64876,47.18388
222,3.53014,31.3013,34.212,6.243038369,35.3379,38.6372,3.66836,37.7027,8.01705,34.65775204,38.6754,79.9407,21.2168,24.9776,55.9559,71.8028,49.1859,54.23141,48.92257,41.45375,51.84792,24.41386,52.73442
221,7.83386,35.122,36.5006,6.690504315,37.4341,54.4338,6.77993,49.6742,9.38846,40.19622269,41.9507,82.4384,24.1186,27.1391,65.3914,82.54109,57.62905,64.59351,56.24847,49.67512,63.39648,30.64358,58.28496
220,11.9158,38.8477,38.2248,5.926303228,38.9883,65.3953,9.53349,58.8879,10.5637,46.39201339,45.5059,84.164,34.485,28.7091,73.65198,91.0972,68.78897,74.11361,63.16942,58.53871,72.09984,38.95464,63.8355
